key,collection_date,Conductivity [p:1567],Dissolved oxygen [p:1565],Group 1 Taxa [f:2996],Ph [p:1566],Temperature [p:1564],latitude,longitude,owner_id,owner_first_name,owner_last_name,certified,certifier_id,certifier_first_name,certifier_last_name,dataset_id,dataset_name,dataset_key,station_id,station_name
a498245d2865dfc5c6b94260d7d4fd98,2003-06-18 00:00:00.000000,0.856,,,8.03,16.6,41.31641212,-81.61989006,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_4,Brecksville_4
cdbed52a6c83e1952536b384eb57082c,2003-06-18 00:00:00.000000,1.652,,,8.33,16.2,41.31855,-81.60686,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_1,Brecksville_1
c398f590a438ebaa410107d10c270f79,2003-06-19 00:00:00.000000,1.194,,,8.31,16.8,41.31659,-81.60352,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_2,Brecksville_2
5f796e920789dcc7a7160c2160f5601a,2003-06-20 00:00:00.000000,0.634,,,8.35,13.7,41.31641212,-81.61989006,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_4,Brecksville_4
95605f294dacc258a2942e8d48434914,2003-06-23 00:00:00.000000,0.425,,,7.15,15.8,41.31198962,-81.619002,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_6,Brecksville_6
c686a168d90a7aaa81e2045eab585d23,2003-06-23 00:00:00.000000,2.45,,,8.12,16.3,41.31274,-81.61598,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_5,Brecksville_5
1919557cb18418a1ab42d82438e1bcbc,2003-06-23 00:00:00.000000,0.436,,,7.53,14.2,41.3143155,-81.6107658,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_3,Brecksville_3
103c3f5c01b3017ec0d47c7b2fe9c591,2003-06-24 00:00:00.000000,2.53,,,7.66,14.8,41.31362,-81.61744,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_7,Brecksville_7
f53656c80ee2a4c8213c77359bf86069,2003-06-25 00:00:00.000000,1.332,,,8.04,18.3,41.3065,-81.60918,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_10,Brecksville_10
1345072f01eb8d0ba1f14dea4adfb5c1,2003-06-25 00:00:00.000000,1.351,,,7.98,17.0,41.31234,-81.60492,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_9,Brecksville_9
bc926c753c65310180234d3567b5ba07,2003-06-25 00:00:00.000000,0.627,,,7.82,15.4,41.31595493,-81.61007073,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_8,Brecksville_8
bcba861696a6032fed2a332b2e43b1fc,2003-06-26 00:00:00.000000,1.636,,,7.68,19.3,41.30734,-81.61067,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_13,Brecksville_13
ff0f3ffab02c67e5fa32e6b9015e883c,2003-06-26 00:00:00.000000,0.698,,,6.9,18.6,41.30236999,-81.61480775,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_12,Brecksville_12
e96d095ab82ac55ba1810cfd42c9d954,2003-06-26 00:00:00.000000,1.803,,,5.44,15.9,41.30279371,-81.61228049,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,1008,Cleveland Metroparks Monitoring Program,e2e81affeb3aa8ce,Brecksville_11,Brecksville_11
